EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
480018,GUAM (ZONE), ,10/16/2013,200,Hurricane (Typhoon), , ,0,0,50000,100000,XX,GST10, ,80140,Z,6,GUM,0,0,Newspaper, , , , , , , , ,10/19/2013,1500, , , , ,"On the afternoon of the 14th of October a weak circulation could be found on the scatterometer charts east of the Marianas.|By the 15th it became an Invest area labeled 93W, A Special Weather Statement was issued for the Marianas on the afternoon of the 15th. By the afternoon of the 16th the disturbance had become Tropical Depression 26W and was located 75 miles southeast of Guam. The depression passed south of Guam during the afternoon.|A Tropical Storm Watch for was issued for Guam, Rota, Tinian, and Saipan|Gusty winds occurred across the Marianas with the following observed wind gust:|NWS Guam the gust was 46 mph, 52 mph Andersen AFB, 39 mph Saipan International Airport, 38 mph at Rota Airport. |  On the 17th of October during the early morning TD 26W becomes Tropical Storm Francisco 175 miles southwest of Guam, by 2 pm it was a typhoon 205 miles southwest of Guam. Since Francisco moved so far southwest of Guam on the 17th |wind gust were not as high as on the 16th Peak wind gust observed on the 17 is as follows: at NWS Guam was 40 mph, 37 mph  Andersen AFB, 32 mph  Saipan International Airport, 38 mph at Rota Airport. ||On the 18th Typhoon Francisco was located 140 miles west of Guam at 7 am.|Typhoon Francisco was located 200 miles west of the radar at 11 am.|The diameter of the eye was estimated to be around 29 miles.  |Guam was on the edge of the damaging wind radii with wind gust reaching tropical storm strength occasionally. Peak winds on the 18th include: at NWS Guam 43 mph, 44 mph  Andersen AFB, 36 mph Saipan International Airport, 49 mph at Rota Airport.||On the morning of the 19th Typhoon Francisco became a Super Typhoon 330 miles northwest of Guam. Even with this distance a few wind gusts were observed across the Marianas: Peak Winds on the 19th at NWS Guam was 35 mph, 41 mph Andersen AFB, 33 mph Saipan International Airport, 29 mph at Rota Airport.|Rainfall observed across Guam from the 16th through the 18th||		7.47 inches fell at NWS Guam, |		4.78 inches at Apra Harbor Automated Weather Station,|		7.90 inches at Inarajan Automated Weather Station,|		7.86 inches at Windward Hills rain gage,||No Major Interruptions in Power or Water service was observed on Guam during Typhoon Francisco's Close Call and Guam Memorial Hospital reported no weather related injuries. 9 schools served as shelters for residents of Guam. It was reported that a total of 1223 people took advantage of these shelters. ||There were reports of some trees knocked down because of the wind, but nothing|major.","On the afternoon of the 14th of October a weak circulation could be found on the scatterometer charts east of the Marianas. A Special Weather Statement was issued for the Marianas on the afternoon of the 15th. By the afternoon of the 16th the disturbance had become Tropical Depression 26W and was located around|75 miles southeast of Guam. The depression passed south of Guam during that afternoon. A Tropical Storm Watch was issued for Guam, Rota, Tinian, and Saipan. During the early morning of October 17th TD 26W becomes Tropical Storm Francisco 175 miles southwest of Guam, by 2 pm it was a typhoon 205 miles southwest of Guam. Typhoon Francisco passed 140 miles west of Guam at 7 am on the 18th of October.|Typhoon Francisco was located 200 miles west of the radar at 11 am. The diameter of the eye was estimated to be around 29 miles.  Gusty winds were observed across the Marianas. On the morning of the October 19th Typhoon Francisco became a |Super Typhoon 330 miles northwest of Guam. Outer rain bands associated with Francisco brought a few wind gust over the Marianas.",1
486009,MICRONESIA (ZONE), ,11/03/2013,1900,Hurricane (Typhoon), , ,0,0,10000000,100000,XX,GST10, ,81102,Z,2,GUM,0,0,Newspaper, , , , , , , , ,11/07/2013,1900, , , , ,"On the afternoon of November 1st scatterometer data detected a circulation just south of Kosrae. This circulation moved toward the west-northwest and intensified over the next few days. The strengthening was such that on the evening of November 3 the National Weather Service Office in Guam started issuing Special Weather Statements on it. At that time it was still a tropical disturbance and was located near 6N156E or 95 miles west of Pohnpei. Further intensification resulted in the disturbance reaching tropical depression strength. On the night of November 3rd the first advisory was issued for Tropical Depression 31W when it was located near 6N155E. Even though it was only a depression it was expected to quickly intensify. This expectation was borne out as the depression became a tropical storm on the afternoon of the 4th and a typhoon by the afternoon of the 5th. Haiyan, as the system was named was located near 6N145E as it attained typhoon strength. This intensification did not cease as Haiyan became a super typhoon on the afternoon of the 6th. The location of Haiyan at that time was near 8N139E or 300 miles east of Koror Palau. Haiayn had maximum sustained winds of 150 mph with gust estimated to be near 175 mph. On the evening|of the 6th it passed very close to the atoll of Ngulu. The storm surge generated by |Haiyan overspread the atoll. The atoll was inhabited by only six people, none of these|were evacuated. Despite the devastation caused by the storm surge, all of these people survived.|     As Haiyan continued its trek westward its eye passed over Kayangel on the morning of the 7th. The population of this atoll at that time was around 100 people with 30 of them being evacuated to Koror before the typhoon arrived. Most of these evacuees were elderly, women and children. 69 people remained on Kayangel as the eye of Haiyan passed over it. The super typhoon's destructive winds severely damaged|the atoll's only school and clinic. In addtion, roofs of most of the houses on Kayangel were blown off. Many trees were toppled by the strong winds. Power lines as well as communication lines were totally damaged. Storm surge associated with Haiyan pushed sea water inland, contaminating planting fields and the atoll's fresh water lens. The spoiling of the lens means that the people of Kayangel will have to import fresh water|from Palau. Eventually it is hoped that a water desalinization plant will be installed to produce drinking water. |     It could cost the Palauan government $10 million to rebuild power and water infrastructure, as well schools and homes. Despite the intensity of the typhoon and the damage it incurred, no deaths were reported.","Haiyan crossed Micronesia from November 3rd to the 7th.",2
536943,EASTERN HYDE (ZONE), ,07/03/2014,1200,Hurricane (Typhoon), , ,0,0,0,0,NC,EST-5, ,87288,Z,104,MHX,0,0,Mesonet, , , , , , , , ,07/04/2014,1200, , , , ,"Hurricane Arthur produced hurricane force wind gusts, between 90 and 100 mph, during the late evening hours on the 3rd, and the early morning hours on the 4th. This resulted in minor wind damage in Ocracoke. Power poles were also snapped or blown down along Highway 12.  Minimal storm surge estimated at 2 to 4 feet above normal resulted in no significant damage. Two to three inches of storm total rainfall caused minor freshwater flooding.","Hurricane Arthur is the earliest hurricane to hit North Carolina in a season since records began in 1851. The storm intensified, and by late on the evening of July 3,  the system attained its peak winds of 100 mph as a Category 2 hurricane on the Saffir���Simpson hurricane wind scale. Arthur made landfall at 11:15 pm EDT July 3, over Shackleford Banks, between Cape Lookout and Beaufort, and intensified slightly further. The minimum official pressure of 974.9 millibars or 28.79 inches/mercury was measured on 04/0812 UTC at the Oregon Inlet tide gauge, ORIN7. Highest official winds were registered at Cape Lookout C-MAN station, CLKN7, where maximum sustained winds of 67 knots or 77 mph were recorded at 04/0300 UTC.  Peak wind gusts of 88 knots or 101 mph were recorded there as well on 04/0230 UTC. Widespread power outages were reported throughout coastal eastern North Carolina. Official storm surge flooding from 4 to 5 feet above MLLW was observed over the central and northern Outer Banks with portions of NC Highway 12 and U.S. Highway 64 closed in Dare County. The highest official surge 4.5 feet MLLW was reported at Oregon Inlet at 04/1024 UTC. Storm surge value was measured at 7.21 ft MSL by a NWS damage survey team at Rodanthe on Outer Banks Dare County. Arthur produced two destructive EF1 tornadoes, during the evening on July 3rd, which caused an estimated 176 thousand dollars in property damage. Storm surge and hurricane force winds caused an estimated 2.17 million dollars in damages in Dare County, 1.5 million due to storm surge flooding, and 0.67 million dollars in estimated damages due to wind. Damages elsewhere were minimal and not reported. Storm total rainfall averaged between 1.3 to 7.21 inches, highest along the Dare Co. Outer Banks. Heavy rainfall  resulted in minor freshwater flooding across the Eastern NC inland Coastal Plains counties and coastal counties from Carteret County on the southern coast through Dare County on the Outer Banks. There were no reported injuries or fatalities.",3
536939,EASTERN DARE (ZONE), ,07/03/2014,1200,Hurricane (Typhoon), , ,0,0,670000,0,NC,EST-5, ,87288,Z,103,MHX,0,0,Emergency Manager, , , , , , , , ,07/04/2014,1200, , , , ,"Hurricane force wind gusts ranged from 69 to 96 mph and storm surge of 3 to 5 feet above normal across the Outer Banks of Dare County produced damage to structures along the coast from Rodanthe north to near Oregon Inlet to the southern Roanoke Sound during the morning hours on July 4th. A total of 145 structures sustained minor damage, 16 had major damage, and none were completely destroyed. Official storm surge flooding from 4 to 5 feet above MLLW was observed over the central and northern Outer Banks with portions of NC Highway 12 and U.S. Highway 64 closed in Dare County. The highest official surge 4.5 feet MLLW was reported at Oregon Inlet at 04/1024 UTC. Storm surge value was measured at 7.21 ft MSL by a NWS damage survey team at Rodanthe on Outer Banks Dare County. Storm surge and hurricane force winds caused an estimated 2.17 million dollars in damages in Dare County, 1.5 million due to storm surge flooding, and 0.67 million dollars in estimated damages due to wind. Storm total rainfall from 3 to 7 inches resulted in minor freshwater flooding. There were no fatalities or injuries reported.","Hurricane Arthur is the earliest hurricane to hit North Carolina in a season since records began in 1851. The storm intensified, and by late on the evening of July 3,  the system attained its peak winds of 100 mph as a Category 2 hurricane on the Saffir���Simpson hurricane wind scale. Arthur made landfall at 11:15 pm EDT July 3, over Shackleford Banks, between Cape Lookout and Beaufort, and intensified slightly further. The minimum official pressure of 974.9 millibars or 28.79 inches/mercury was measured on 04/0812 UTC at the Oregon Inlet tide gauge, ORIN7. Highest official winds were registered at Cape Lookout C-MAN station, CLKN7, where maximum sustained winds of 67 knots or 77 mph were recorded at 04/0300 UTC.  Peak wind gusts of 88 knots or 101 mph were recorded there as well on 04/0230 UTC. Widespread power outages were reported throughout coastal eastern North Carolina. Official storm surge flooding from 4 to 5 feet above MLLW was observed over the central and northern Outer Banks with portions of NC Highway 12 and U.S. Highway 64 closed in Dare County. The highest official surge 4.5 feet MLLW was reported at Oregon Inlet at 04/1024 UTC. Storm surge value was measured at 7.21 ft MSL by a NWS damage survey team at Rodanthe on Outer Banks Dare County. Arthur produced two destructive EF1 tornadoes, during the evening on July 3rd, which caused an estimated 176 thousand dollars in property damage. Storm surge and hurricane force winds caused an estimated 2.17 million dollars in damages in Dare County, 1.5 million due to storm surge flooding, and 0.67 million dollars in estimated damages due to wind. Damages elsewhere were minimal and not reported. Storm total rainfall averaged between 1.3 to 7.21 inches, highest along the Dare Co. Outer Banks. Heavy rainfall  resulted in minor freshwater flooding across the Eastern NC inland Coastal Plains counties and coastal counties from Carteret County on the southern coast through Dare County on the Outer Banks. There were no reported injuries or fatalities.",4
536929,CARTERET (ZONE), ,07/03/2014,1200,Hurricane (Typhoon), , ,0,0,0,0,NC,EST-5, ,87288,Z,95,MHX,0,0,C-MAN Station, , , , , , , , ,07/04/2014,1200, , , , ,"Hurricane Arthur produced sustained hurricane force winds along coastal sections Down-east Carteret County. Maximum sustained winds of 77 mph were measured at Cape lookout with peak winds of 101 mph during the late evening hours of July 3rd. This resulted in minor wind damage with scattered power outages. A two to three foot storm surge occurred along the coast and adjacent to the lower reaches of the Neuse River. One to four inches of storm total rainfall was measured across the county resulting in minor freshwater flooding. No significant damages were reported by Emergency Management. There were no storm related injuries or fatalities.","Hurricane Arthur is the earliest hurricane to hit North Carolina in a season since records began in 1851. The storm intensified, and by late on the evening of July 3,  the system attained its peak winds of 100 mph as a Category 2 hurricane on the Saffir���Simpson hurricane wind scale. Arthur made landfall at 11:15 pm EDT July 3, over Shackleford Banks, between Cape Lookout and Beaufort, and intensified slightly further. The minimum official pressure of 974.9 millibars or 28.79 inches/mercury was measured on 04/0812 UTC at the Oregon Inlet tide gauge, ORIN7. Highest official winds were registered at Cape Lookout C-MAN station, CLKN7, where maximum sustained winds of 67 knots or 77 mph were recorded at 04/0300 UTC.  Peak wind gusts of 88 knots or 101 mph were recorded there as well on 04/0230 UTC. Widespread power outages were reported throughout coastal eastern North Carolina. Official storm surge flooding from 4 to 5 feet above MLLW was observed over the central and northern Outer Banks with portions of NC Highway 12 and U.S. Highway 64 closed in Dare County. The highest official surge 4.5 feet MLLW was reported at Oregon Inlet at 04/1024 UTC. Storm surge value was measured at 7.21 ft MSL by a NWS damage survey team at Rodanthe on Outer Banks Dare County. Arthur produced two destructive EF1 tornadoes, during the evening on July 3rd, which caused an estimated 176 thousand dollars in property damage. Storm surge and hurricane force winds caused an estimated 2.17 million dollars in damages in Dare County, 1.5 million due to storm surge flooding, and 0.67 million dollars in estimated damages due to wind. Damages elsewhere were minimal and not reported. Storm total rainfall averaged between 1.3 to 7.21 inches, highest along the Dare Co. Outer Banks. Heavy rainfall  resulted in minor freshwater flooding across the Eastern NC inland Coastal Plains counties and coastal counties from Carteret County on the southern coast through Dare County on the Outer Banks. There were no reported injuries or fatalities.",5
546019,GUAM (ZONE), ,10/05/2014,1200,Hurricane (Typhoon), , ,0,0,100000,50000,XX,GST10, ,91089,Z,6,GUM,0,0,Official NWS Observations, , , , , , , , ,10/06/2014,1200, , , , ,"On the 1st of October scatterometer data depicted a circulation just east of Kosrae. The circulation moved slowly northwest, being located 150 miles northeast of Pohnpei on the morning of the 3rd, became sufficiently organized to be classified as Tropical Depression 19W. Further intensification during that afternoon allowed the depression to become Tropical Storm 19W and during that evening it made it's closest approach to Pohnpei as it passed 120 miles north of the island. Most of the tropical storm force winds were found north of the tropical storm. The radius of tropical storm force winds south of the system did not extend as far as Pohnpei. No reports of damage were reported from that island.||By the 4th the system was named Tropical Storm Vongfong and further intensification allowed it to reach typhoon intensity. The typhoon passed 285 miles north of Chuuk on the morning of the 5th. This was too far to cause any ill effect on the island.||The typhoon continued its trek northeast and passed across the Marianas Islands on the 6th. During the early morning hours of the 6th...between 3 and 4 am...the eye of Typhoon Vongfong passes just north of Rota. Radar data showed that the eyewall of the typhoon probably passed over parts of this island. Brief wind shear caused some weakening of the typhoon as it passed over the Marianas. Seventy percent of the island of Rota briefly lost power. The airport at Rota was not open so unfortunately no wind data was reported. The highest wind gust observed across central Guam at the National Weather Service Office was 43 knots (49 mph), at 228 am. |Across northern Guam at Andersen Air Force Base the highest wind gust was 61 knots (70mph) at 308 am. ||Across Saipan the highest wind gust was 52 knots (60 mph) at 203 am. ||On Guam only minor flooding and sporadic power outages were reported across the island. Downed trees were also reported in a few areas of the island. In Yigo, four employees of the mayor helped rescue a family of 17 people from flooding in that village. the northern half of the island reported the most rain as a major rain band pushed across that area before sunrise. Andersen Air Force Base on the northern tip of Guam received over 7 inches of rain, while the National Weather Service Office in the central part of the island received only just over 3 inches of rain. ||Despite the wind and rain, no deaths or serious injury was reported across the Marianas. The airport in Guam reported some canceled flights. The aircraft carrier George Washington, stopped at Guam for a few days, had to leave two days earlier because of the typhoon. This cut short Liberty for the ship's crew and this hurt local |businesses slightly.","Typhoon Vongfong passed across the Marianas the first part of October.",6
546021,ROTA (ZONE), ,10/05/2014,1200,Hurricane (Typhoon), , ,0,0,100000,50000,XX,GST10, ,91089,Z,8,GUM,0,0,Official NWS Observations, , , , , , , , ,10/06/2014,1300, , , , ,"On the 1st of October scatterometer data depicted a circulation just east of Kosrae. The circulation moved slowly northwest, being located 150 miles northeast of Pohnpei on the morning of the 3rd, became sufficiently organized to be classified as Tropical Depression 19W. Further intensification during that afternoon allowed the depression to become Tropical Storm 19W and during that evening it made it's closest approach to Pohnpei as it passed 120 miles north of the island. Most of the tropical storm force winds were found north of the tropical storm. The radius of tropical storm force winds south of the system did not extend as far as Pohnpei. No reports of damage were reported from that island. By the 4th the system was named Tropical Storm Vongfong and further intensification allowed it to reach typhoon intensity. The typhoon passed 285 miles north of Chuuk on the morning of the 5th. This was too far to cause any ill effect on the island. The typhoon continued its trek northeast and passed across the Marianas Islands on the 6th. During the early morning hours of the 6th...between 3 and 4 am...the eye of Typhoon Vongfong passes just north of Rota. Radar data showed that the eyewall of the typhoon probably passed over parts of this island. Brief wind shear caused some weakening of the typhoon as it passed over the Marianas. Seventy percent of the island of Rota briefly lost power. The airport at Rota was not open so unfortunately no wind data was reported. The highest wind gust observed across central Guam at the National Weather Service Office was 43 knots (49 mph), at 228 am. Across northern Guam at Andersen Air Force Base the highest wind gust was 61 knots (70mph) at 308 am. Across Saipan the highest wind gust was 52 knots (60 mph) at 203 am. On Guam only minor flooding and sporadic power outages were reported across the island. Downed trees were also reported in a few areas of the island. In Yigo, four employees of the mayor helped rescue a family of 17 people from flooding in that village. the northern half of the island reported the most rain as a major rain band pushed across that area before sunrise. Andersen Air Force Base on the northern tip of Guam received over 7 inches of rain, while the National Weather Service Office in the central part of the island received only just over 3 inches of rain. Despite the wind and rain, no deaths or serious injury was reported across the Marianas. The airport in Guam reported some canceled flights. The aircraft carrier George Washington, stopped at Guam for a few days, had to leave two days earlier because of the typhoon. This cut short Liberty for the ship's crew and this hurt local businesses slightly.","Typhoon Vongfong passed across the Marianas the first part of October.",7
560233,MICRONESIA (ZONE), ,12/01/2014,0,Hurricane (Typhoon), , ,0,0,100000,100000,XX,GST10, ,93313,Z,2,GUM,0,0,Official NWS Observations, , , , , , , , ,12/03/2014,0, , , , ,"On the morning of the 30th of November a tropical disturbance was located southwest of Kosrae near 1N161E. By the 1st of December it had moved west and was located around 400 miles southeast of Chuuk.||By the afternoon of the 1st the circulation became Tropical Depresison 22W. By the night of the same day the depression strengthened to Tropical Storm Hagupit when it was located 160 miles south-southwest of Weno Chuuk. On the morning of the 2nd, Hagupit passed 75 miles south of Puluwat. No reports were received from Puluwat, but ASCAT data showed winds between 30 to 35 mph should have been felt at that|location. ||ASCAT data showed that Satawal was the first to experience Storm Force winds |followed by Faraulep then Woleai, then Fais and finally Ulithi, Yap and Ngulu. |At 11 a.m. Tuesday, December 2, 2014, Tropical Storm Hagupit passed 105 miles |South of Satawal moving toward Faraulep and Woleai with maximum sustained winds|of 65 miles mph. ||It is not certain of the extent of damage that Satawal sustained, but it should |have been minimal considering the size of the island and how far from the island |that the storm passed. ||By approximately 10 pm on Tuesday, December 2nd, 2014, Hagupit was estimated to |have passed less than 90 miles South of Woleai. The observer on  Woleai reported|that as Tropical Storm passed them that he estimated that the winds gusted to as high as 23 mph. ||On the morning of the 3rd, Hagupit continued to intensify and became a typhoon. |That night the typhoon passed about 30 miles to the northeast of the small atoll of Ngulu in Yap State. There were no injuries or casualties on Ngulu according chief Mario Mangar of Ngulu.||Northern clockwise through the Southern shore of the main island of Yap was heavily affected mainly due to thunderous storm surge pounding that shoreline. Private dwellings along the shore were washed away and even some concrete buildings close the shores suffered damage because of the heavy storm surge. In some areas the strong storm surge found its way inland as far as 200 yards. Most of the roads and |causeways in town were under 2 to 4 feet of salt water. There were reports from the southern part of the island of Yap that indicated that sea water moved the farthest inland reaching areas that has not been reached by sea water for many years, not even during the devastating Typhoon Sudal in 2003.||Fortunately, no injuries or casualties were reported. Government facilities including the hospital, dispensaries, schools and community centers were opened to the public to use as typhoon shelters. There was no damage to Weather Service Office and to other government facilities.||There were some fallen trees, but mostly old trees, trees in poor soil conditions,  |and those by the shore that the water assisted in uprooting. Many power lines were damaged by fallen trees and this resulted in power outages for some places. Several days after the typhoon had long passed, repairs were completed and power restored. ||Damage to property away from the shoreline were limited to poorly constructed houses or from falling trees. The only building that was known to have collapsed was one that was termite infested. The termite infestation was probably the biggest contributor since other buildings nearby did not undergo the same problem.","Typhoon Hagupit moves across Yap state during the first week of December 2014.",8
579262,MICRONESIA (ZONE), ,03/26/2015,0,Hurricane (Typhoon), , ,4,10,4000000,2000000,XX,GST10, ,96339,Z,2,GUM,0,0,Emergency Manager, , , , , , , , ,03/31/2015,2359, , , , ,"On the night of the 26th of March, a tropical disturbance was noted 135 miles east-southeast of Pohnpei. It became the subject of a Tropical Cyclone Formation Alert issued by the Joint Typhoon Warning Center. By the afternoon of the 27th the system intensified to become Tropical Depression (TD) 04W. It was located 35 miles west of Pohnpei at that time. By the night of the 27th, 04W had become a tropical storm. At that time, it was located 320 miles east of Chuuk. The tropical storm was eventually named Maysak.||By the morning of the 29th, Maysak intensified into a typhoon. At this time, it was |65 miles east of Chuuk and 30 miles north of Losap. The typhoon passed across Chuuk Lagoon on that day. The highest wind gust recorded at the Weather Service Office (WSO) on Weno Island in Chuuk Lagoon on the afternoon of the 29th was 71 mph. The typhoon also brought between 6 and 7 inches of rain to Weno Island in Chuuk Lagoon. ||The typhoon caused four reported deaths on Weno in Chuuk State, two adults and two children. One male adult died after a tree fell on his house and the other adult died in a mudslide. One of the children died from injury due to a sheet of airborne tin and the other child was a newborn in distress who did not make it to the hospital because fallen trees blocked the roads. Ten additional people were treated for injuries sustained from Typhoon Maysak.||International Office for Migration (IOM) staff in Weno, Chuuk, reported roofs of buildings blown off, damaged seawalls, power lines down, and that a number of houses, stores, and local market stands were destroyed. Damage to crops was extensive with breadfruit, coconut, and mango trees being felled. The damages included 80 percent of the breadfruit and banana trees were damaged and 80 percent of taro plants were also damaged. 830 homes were heavily damaged or destroyed in Chuuk and more than 6700 people were displaced.||Apart from the damage across the Chuuk Lagoon and several atolls, the typhoon was also responsible for the sinking or damaging of vessels at the Chuuk port. The Truk Siren and Lien Pwaki, two vessels in Chuuk Lagoon, sunk or were partially submerged as a result of the storm. Nien Neufich, Nien Chuuk, Miss Transco, The Odyssey, Micro Peace, Exodus and the Chinese vessel, Wing Dong, had run aground and were damaged. The Exodus sank at Mechitiw.||Other locations in Chuuk State also reported damage. On the 29th of March, Fananu and Nomwin reported damage to crops. Onoun reported that food crops were destroyed. Polowat indicated the there were damages to trees, crops and houses. In Pollap, it was reported that ���almost all��� houses are seriously damaged, |and that trees and crops damaged. A situation overview via SSB radio between Disaster Coordination Office (DCO) staff and a Municipal government official on Losap Island in the Upper Morlocks indicates partial damage to water and food supplies and agriculture, and identified their most critical need as food. An estimated $2.4 million damage was done to Chuuk's infrastructure. ||After passing through Chuuk State, Typhoon Maysak crossed Yap State. On the evening of March 30th, the storm passed about 30 miles to the north of Yap's outer island of Faraulep. This island has an estimated population of 170 people. Radio communication with the island on the next day indicated that there were no injuries or fatalities caused by the typhoon. Fruit trees were, however, reported down, but boats were undamaged. There was also contamination of fresh water wells and taro |patches were inundated with salt water. There was also damage to buildings including the dispensary.||On the afternoon of the 31st Maysak become a Super Typhoon. A super Typhoon is one that has winds equal to and exceeding 150 mph. At this time Maysak was only 55 miles east-northeast of Fais. Late on the night of the 31st, Maysak passed about 55 Mile northwest of Fais and 35 miles northeast of Ulithi. Communications with the Ulitihi High School principal on the morning of 31 March revealed that there were ���about 600��� people on the island. The FSM 2010 Census indicates 294 people on the island of Fais, which is described as a raised coral island with a maximum elevation of 59 feet. ||Reports from Ulithi indicated that the typhoon knocked down many trees including large fruit trees. Sea level inundation also destroyed crops and deposited salt into the soil. It will take time to desalinate the soil, approximately a year before the crops can be replanted. Many houses were damaged on Ulithi.  Despite the high winds, there were no deaths or serious injuries on Ulithi Atoll.","Between the 26th and 31st of March, Typhoon Maysak moved across Chuuk and Yap|States in Micronesia.  It killed four people in Chuuk Lagoon, and flattened much of Ulithi Atoll in Yap State.",9
596410,MICRONESIA (ZONE), ,04/01/2015,0,Hurricane (Typhoon), , ,0,0,500000,500000,XX,GST10, ,99324,Z,2,GUM,0,0,Newspaper, , , , , , , , ,04/02/2015,0, , , , ,"Typhoon Maysak formed over eastern Micronesia and treked across Pohnpei, Chuuk and Yap States in March. During the first few days of April, Super Typhoon Maysak|continued its travel across Yap State.||Around midnight on the 1st, Super Typhoon Maysak passed 25 miles northeast of Ulithi. At this time Maysak had winds up to 160 mph with typhoon force winds|extending out to 45 miles from the center.||Around sunrise on the first, the Super Typhoon passed 70 miles north of Yap.||Ulithi has about 800 residents and it is only about 6 to 12 feet high.�� |Reports from Ulithi indicated that the typhoon force winds knocked down many trees including fruit trees. Sea level inundation also destroyed crops and deposited salt into the soil. It will take time to desalinate the soil, approximately a year before the crops can be replanted. Many houses were also damaged on Ulithi. Most cement structures withstood Maysak's damage, but everything else was damaged and most destroyed. The high school was completely destroyed along with just about every home. Peak winds reported at 100+ mph on Ulithi before communications lost ahead of eyewall passage. Maximum winds were estimated to be around 140 mph.||Falalop Island at Ulithi Atoll...Typhoon Maysak leveled nearly every structure on the Islands. The Outer Islands School was destroyed, 95% of family taro and vegetable gardens destroyed and rain water collection facilities destroyed leaving some children sick from contaminated water. Local chiefs estimate the current population of Falalop to be 260, including students from outer islands currently in school session.||Last reported peak wind 60 mph at airport station on Yap.","Typhoon Maysak had ravaged parts of Micronesia at the end of March. The typhoon continued on its destructive path on the first few days of April.",10
